,c_0,c_1,c_2,c_3,c_4,c_5
variant_1,7577147.0,1707015.0,1006655.0,2151884.0,2912544.0,1625178.0
variant_2,407.0,44.0,17.0,25.0,2.0,0.0
variant_3,17.0,2.0,0.0,0.0,0.0,0.0
variant_4,29.0,0.0,0.0,0.0,0.0,0.0
variant_5,864.0,169.0,154.0,228.0,143.0,44.0
variant_6,1250.0,177.0,113.0,154.0,106.0,22.0
variant_7,1660.0,131.0,44.0,87.0,84.0,23.0
variant_8,364.0,19.0,3.0,5.0,0.0,0.0
variant_9,126.0,33.0,4.0,1.0,0.0,0.0
variant_10,3230.0,736.0,365.0,773.0,860.0,383.0
variant_11,1333.0,248.0,54.0,127.0,67.0,20.0
variant_12,65.0,0.0,0.0,0.0,0.0,0.0
variant_13,150.0,0.0,0.0,0.0,0.0,0.0
variant_14,369.0,90.0,22.0,37.0,28.0,1.0
variant_15,2460.0,587.0,326.0,755.0,698.0,333.0
variant_16,607.0,168.0,88.0,88.0,69.0,14.0
variant_17,256.0,128.0,86.0,127.0,172.0,51.0
variant_18,2.0,0.0,0.0,0.0,0.0,0.0
variant_19,31.0,0.0,0.0,0.0,0.0,0.0
variant_20,44.0,1.0,0.0,0.0,0.0,0.0
variant_21,239.0,8.0,0.0,0.0,0.0,0.0
variant_22,103.0,0.0,0.0,0.0,0.0,0.0
variant_23,205.0,43.0,15.0,15.0,6.0,1.0
variant_24,139.0,69.0,47.0,98.0,88.0,60.0
variant_25,96.0,0.0,0.0,0.0,0.0,0.0
variant_26,285.0,9.0,0.0,0.0,0.0,0.0
variant_27,362.0,110.0,85.0,125.0,100.0,44.0
variant_28,339.0,36.0,21.0,44.0,34.0,4.0
variant_29,181.0,25.0,7.0,34.0,37.0,24.0
variant_30,128.0,29.0,7.0,1.0,2.0,0.0
variant_31,296.0,106.0,31.0,45.0,66.0,15.0
variant_32,585.0,68.0,14.0,16.0,11.0,8.0
variant_33,425.0,132.0,53.0,64.0,79.0,24.0
variant_34,438.0,47.0,13.0,32.0,48.0,27.0
variant_35,168.0,5.0,1.0,0.0,0.0,0.0
variant_36,485.0,201.0,118.0,220.0,246.0,83.0
variant_37,178.0,14.0,4.0,3.0,7.0,3.0
variant_38,220.0,10.0,1.0,0.0,0.0,0.0
variant_39,228.0,17.0,2.0,0.0,0.0,0.0
