,T0PV,T1,T2,T3,T4,T5
variant_1,3940,1453,7,2,2,0
variant_2,2911,1,4,3,0,0
variant_3,11627,3479,171,12,4,3
variant_4,6683,0,148,8,1,2
variant_5,1137,1,0,1,0,0
variant_6,1567,0,0,2,1,1
variant_7,1889,0,0,0,0,0
variant_8,1016,1,2,1,0,0
variant_9,1105,0,1,1,0,0
variant_10,3039,0,0,0,1,0
variant_11,1067,0,0,1,0,0
variant_12,8597,0,5,8,0,0
variant_13,1464,1,1,2,0,1
variant_14,2228,2282,584,6,0,0
variant_15,3681,1,67,5,2,1
variant_16,3391,0,4,1,1,1
variant_17,2759,2,1,3,1,1
variant_18,1953,1,3,2,1,0
variant_19,132235,13724,3554,640,46,22
variant_20,8767,2476,1000,12,2,2
variant_21,2825,0,3,5,1,0
variant_22,1985,0,0,2,0,0
variant_23,1075,1,0,1,0,1
variant_24,1389,7849,201,8,3,1
variant_25,2634,3598,229,4,0,1
variant_26,17954,4452,962,20,5,4
variant_27,4180,1,4,0,0,0
variant_28,9357,3542,22,4,2,2
variant_29,5653,0,1,4,2,0
variant_30,1278,0,2,2,0,0
variant_31,118275,26205,2815,122,44,17
variant_32,15036,7,62,15,1,3
variant_33,2027,848,345,3,0,1
variant_34,2231,0,1,3,0,1
variant_35,2479,0,13,1,0,0
variant_36,1775,0,1,2,0,0
variant_37,27181,4,34,27,10,3
variant_38,4155,1,18,2,1,1
variant_39,1189,0,23,1,0,1
variant_40,3016,2626,40,6,4,0
variant_41,1991,1,0,1,2,0
variant_42,16512,24829,12175,3266,46,4
variant_43,2268,2840,4837,2235,14245,16081
variant_44,83,2732,10,1,0,0
variant_45,3132,3800,1384,4,2,1
variant_46,19508,3454,268,966,4,4
variant_47,5057,2,5,4,0,3
variant_48,5196,0,4,2,1,1
variant_49,2164,1,29,2,1,0
variant_50,8004,3424,87,9,1,1
variant_51,1412,0,1,1,0,0
variant_52,6131,0,4,5,4,2
variant_53,532,2190,8,1,0,0
variant_54,2780,0,2,0,1,0
variant_55,1369,3749,1951,3858,4,3
variant_56,1,1,1,6,1094,40
variant_57,1395,1,1,1,0,0
variant_58,70207,2885,2797,63,21,5
variant_59,5897,1,0,3,3,1
variant_60,1268,10785,3815,231,5,4
variant_61,1648,1,19,3,0,0
variant_62,17651,744,38,21,8,0
variant_63,740,889,2251,8746,35964,23908
variant_64,815,2231,28,2,2,0
variant_65,1809,0,3,2,1,0
variant_66,2390,1,4,0,3,0
variant_67,1094,0,1,1,0,1
variant_68,89,3415,462,1,0,0
variant_69,2071,0,1,2,1,0
variant_70,5534,0,19,1,1,0
variant_71,44462,7492,6195,786,11,6
variant_72,7615,2756,347,9,2,1
variant_73,381,2132,2,1,0,0
variant_74,38340,11793,4069,2911,14,3
variant_75,2846,1,1,1,1,1
variant_76,3252,0,4,1,1,0
variant_77,3137,3,487,2,0,0
variant_78,1539,0,1,0,0,0
variant_79,2086,0,2,1,0,0
variant_80,3640,0,0,3,1,0
variant_81,3268,0,1,2,0,0
variant_82,1559,0,1,0,0,0
variant_83,2254,1,0,3,0,0
variant_84,4601,0,1,4,1,0
