,round_1,round_2,round_3
variant_1,1.0,0.0,0.0
variant_2,2.0,0.0,0.0
variant_3,17.0,3.0,0.0
variant_4,3.0,1.0,0.0
variant_5,7.0,1.0,0.0
variant_6,5.0,0.0,0.0
variant_7,4.0,0.0,0.0
variant_8,6.0,8.0,1.0
variant_9,8.0,0.0,0.0
variant_10,1.0,0.0,0.0
variant_11,2.0,10.0,9.0
variant_12,3.0,1.0,0.0
variant_13,1.0,0.0,0.0
variant_14,6.0,8.0,2.0
variant_15,1.0,13.0,1.0
variant_16,10.0,16.0,3.0
variant_17,1.0,9.0,3.0
variant_18,1.0,0.0,0.0
variant_19,9.0,0.0,0.0
variant_20,1.0,0.0,0.0
variant_21,3.0,0.0,0.0
variant_22,19.0,10.0,1.0
variant_23,3.0,7.0,0.0
variant_24,4.0,0.0,0.0
variant_25,1.0,0.0,0.0
variant_26,1.0,0.0,0.0
variant_27,5.0,0.0,0.0
variant_28,1.0,0.0,0.0
variant_29,6.0,16.0,1.0
variant_30,9.0,2.0,0.0
variant_31,1.0,0.0,0.0
variant_32,6.0,27.0,3.0
variant_33,4.0,0.0,0.0
variant_34,3.0,1.0,0.0
variant_35,5.0,1.0,0.0
variant_36,1.0,0.0,0.0
variant_37,6.0,17.0,0.0
variant_38,7.0,0.0,0.0
variant_39,1.0,5.0,0.0
variant_40,17.0,0.0,0.0
variant_41,3.0,2.0,0.0
variant_42,2.0,0.0,0.0
variant_43,2.0,3.0,0.0
variant_44,4.0,4.0,0.0
variant_45,8.0,7.0,0.0
variant_46,4.0,0.0,0.0
variant_47,1.0,0.0,0.0
variant_48,24.0,29.0,7.0
variant_49,1.0,0.0,0.0
variant_50,4.0,2.0,0.0
variant_51,3.0,0.0,0.0
variant_52,17.0,0.0,0.0
variant_53,6.0,2.0,0.0
variant_54,7.0,0.0,0.0
variant_55,1.0,1.0,0.0
variant_56,4.0,0.0,0.0
variant_57,5.0,0.0,0.0
variant_58,17.0,21.0,6.0
variant_59,1.0,0.0,0.0
variant_60,1.0,0.0,0.0
variant_61,1.0,0.0,0.0
variant_62,4.0,0.0,0.0
variant_63,5.0,1.0,1.0
variant_64,3.0,5.0,2.0
variant_65,6.0,2.0,0.0
variant_66,2.0,3.0,1.0
variant_67,4.0,12.0,18.0
variant_68,1.0,1.0,0.0
variant_69,1.0,0.0,0.0
variant_70,8.0,6.0,0.0
variant_71,12.0,14.0,1.0
variant_72,1.0,0.0,0.0
variant_73,2.0,1.0,0.0
variant_74,2.0,0.0,0.0
variant_75,6.0,0.0,0.0
variant_76,11.0,3.0,0.0
variant_77,6.0,1.0,0.0
variant_78,2.0,0.0,0.0
variant_79,9.0,19.0,1.0
variant_80,1.0,0.0,1.0
variant_81,2.0,0.0,0.0
variant_82,13.0,4.0,0.0
variant_83,11.0,21.0,2.0
variant_84,1.0,0.0,0.0
variant_85,1.0,0.0,0.0
variant_86,10.0,11.0,4.0
variant_87,2.0,0.0,0.0
variant_88,33.0,10.0,1.0
variant_89,2.0,1.0,0.0
variant_90,1.0,0.0,0.0
variant_91,1.0,0.0,0.0
variant_92,6.0,0.0,0.0
