,G0,D1.25,D2.25,D3.25,D4.25
variant_1,477,634,769,1014,1600
variant_2,39,45,32,26,35
variant_3,818,1347,1334,2117,2277
variant_4,16,1,0,0,0
variant_5,60,34,16,40,52
variant_6,112,5,0,0,3
variant_7,270,337,326,375,767
variant_8,1653,1543,886,870,801
variant_9,653,146,25,29,19
variant_10,1305,1907,1506,2000,2196
variant_11,2213,5152,5422,8261,11097
variant_12,221,99,40,63,105
variant_13,171,272,144,151,162
variant_14,140,286,211,195,442
variant_15,1333,3094,3816,5066,6941
variant_16,399,390,265,313,317
variant_17,212,414,305,413,592
variant_18,952,230,84,139,295
variant_19,336,456,411,713,1057
variant_20,170,227,289,357,460
variant_21,65,60,27,27,10
variant_22,398,466,389,382,589
variant_23,13,0,0,0,0
variant_24,25,0,0,0,0
variant_25,42,0,0,0,0
variant_26,852,2378,2325,3276,4234
variant_27,41,11,0,0,0
variant_28,112,0,0,3,1
variant_29,344,762,837,1061,1599
variant_30,442,621,734,1057,1536
variant_31,272,469,459,577,809
variant_32,435,342,231,238,226
variant_33,382,98,41,31,22
variant_34,242,199,161,202,306
variant_35,32,8,1,0,0
variant_36,290,292,161,156,150
variant_37,276,217,61,71,67
variant_38,114,69,72,58,68
variant_39,221,82,24,26,31
variant_40,48,0,0,2,0
variant_41,13,21,17,21,17
variant_42,18,0,0,0,0
variant_43,265,29,5,6,6
variant_44,7,0,1,3,2
variant_45,18,2,3,1,0
variant_46,274,277,189,223,239
variant_47,78,128,136,155,263
variant_48,10,0,0,0,0
variant_49,44,56,38,41,99
variant_50,169,21,17,18,40
variant_51,22,1,0,0,0
variant_52,101,225,237,252,331
variant_53,65,6,5,4,8
variant_54,124,548,471,534,901
variant_55,21,0,0,0,0
variant_56,661,55,4,1,1
variant_57,21,0,0,0,0
variant_58,270,35,2,0,0
variant_59,170,5,6,3,6
variant_60,191,3,0,1,1
variant_61,89,83,47,54,62
variant_62,52,101,74,138,182
variant_63,1228,2371,2226,2773,3782
variant_64,54,87,60,43,138
variant_65,164,33,9,12,1
variant_66,270,468,304,557,826
variant_67,101,1,0,1,0
variant_68,572,269,92,100,64
variant_69,38,2,1,0,1
variant_70,47,10,4,7,2
variant_71,494,1091,1233,1855,2364
variant_72,1433,801,163,137,55
variant_73,118,186,149,227,344
variant_74,250,116,32,34,30
variant_75,81,58,19,49,11
variant_76,94,205,277,375,479
variant_77,212,185,107,115,75
variant_78,101,1,3,3,3
variant_79,194,315,320,543,720
variant_80,12,1,0,0,0
variant_81,18,0,0,0,0
variant_82,2023,3514,2966,3985,5553
variant_83,1351,1580,1763,2173,2215
variant_84,245,13,3,1,0
variant_85,13,0,2,0,1
variant_86,386,894,777,1149,1658
variant_87,308,470,633,1003,1361
variant_88,2,0,0,0,0
variant_89,101,43,20,12,8
variant_90,637,84,1,4,6
variant_91,19,0,0,0,1
variant_92,581,306,126,110,75
variant_93,259,474,505,844,1246
variant_94,141,17,11,5,2
variant_95,54,33,14,18,9
variant_96,212,78,59,73,65
variant_97,381,127,15,14,10
variant_98,176,148,78,126,113
variant_99,300,5,0,0,1
variant_100,2,0,0,0,0
